Artist,Song,Lyrics
Green Day,American Idiot,"[Verse 1]
Don't wanna be an American idiot
Don't want a nation under the new media
And can you hear the sound of hysteria?
The subliminal mind-fuck America

[Chorus]
Welcome to a new kind of tension
All across the alien nation
Where everything isn't meant to be okay
Television dreams of tomorrow
We're not the ones who're meant to follow
For that's enough to argue

[Verse 2]
Well, maybe I'm the faggot, America
I'm not a part of a redneck agenda
Now everybody do the propaganda
And sing along to the age of paranoia

[Chorus]
Welcome to a new kind of tension
All across the alien nation
Where everything isn't meant to be okay
Television dreams of tomorrow
We're not the ones who're meant to follow
For that's enough to argue

[Guitar Solo]

[Verse 3]
Don't wanna be an American idiot
One nation controlled by the media
Information age of hysteria
It's calling out to idiot America

[Chorus]
Welcome to a new kind of tension
All across the alien nation
Where everything isn't meant to be okay
Television dreams of tomorrow
We're not the ones who're meant to follow
For that's enough to argue"
John Lennon,Imagine,"[Verse 1]
Imagine there's no heaven
It's easy if you try
No hell below us
Above us, only sky
Imagine all the people living for today
Ah

Imagine there's no countries
It isn't hard to do
Nothing to kill or die for
And no religion too
Imagine all the people living life in peace
You

[Chorus]
You may say I'm a dreamer
But I'm not the only one
I hope some day you'll join us
And the world will live as one

[Verse 2]
Imagine no possessions
I wonder if you can
No need for greed or hunger
A brotherhood of man
Imagine all the people sharing all the world
You

[Chorus]
You may say I'm a dreamer
But I'm not the only one
I hope some day you'll join us
And the world will live as one"
Sex Pistols,God Save The Queen,"[Verse 1]
God save the queen, the fascist regime
They made you a moron, potential H-bomb
God save the queen, she ain't no human being
There is no future in England's dreaming
Don't be told what you want, don't be told what you need
There's no future, no future, no future for you

[Hook]
God save the queen, we mean it man
We love our queen, God saves

[Verse 2]
God save the queen, cause tourists are money
And our figurehead is not what she seems
Oh, God save history, God save your mad parade
Oh, Lord, God have mercy, all crimes are paid
When there's no future, how can there be sin
We're the flowers in the dustbin
We're the poison in your human machine
We're the future, your future

[Hook]
God save the queen, we mean it man
We love our queen, God saves
God save the queen, we mean it man
And there is no future in England's dreaming

[Outro]
No future, no future, no future for you
No future, no future, no future for me..."
Gossip,Standing In The Way Of Control,"

Your back's against the wall
There's no one home to call
You're forgetting who you are
You can't stop crying
It's part not giving in
Part trusting your friends
You do it all again and I'm not lying

Oh oh oh
Standing in the way of control
Yeah live your lives
By the only way that you know, know

I'm doing this for you
Because it's easier to lose
And it's hard to face the truth
When you think you're dying
It's part not giving in
And part trusting your friends
You do it all again but you don't stop trying

Oh oh oh
Standing in the way of control
Yeah live your lives
By the only way that you know, know

Oh oh oh
Standing in the way of control
We'll live our lives
Because we're standing in the way of control
We will live our lives
Because we're standing in the way of control
We'll live our lives
Because we're standing in the way of control
We will live our lives, lives, lives

Your back's against the wall
There's no one home to call
You're forgetting who you are
You can't stop crying
It's part not giving in
And part trusting your friends
You do it all again, you don't stop trying

Oh oh oh
Standing in the way of control
Yeah live your lives
By the only way that you know, know

"
The Beatles,Revolution,"[Intro]
Aah!

[Verse 1]
You say you want a revolution
Well, you know
We all want to change the world
You tell me that it's evolution
Well, you know
We all want to change the world
But when you talk about destruction
Don't you know that you can count me out

[Chorus]
Don't you know it's gonna be
Alright
Alright
Alright

[Verse 2]
You say you got a real solution
Well, you know
We'd all love to see the plan
You ask me for a contribution
Well, you know
We're doing what we can
But if you want money for people with minds that hate
All I can tell you is, brother, you have to wait

[Chorus]
Don't you know it's gonna be
Alright
Alright
Alright

[Verse 3]
You say you'll change the constitution
Well, you know
We all want to change your head
You tell me it's the institution
Well, you know
You better free your mind instead
But if you go carrying pictures of Chairman Mao
You ain't going to make it with anyone anyhow

[Chorus]
Don't you know it's gonna be
Alright
Alright
Alright

[Outro]
Alright, alright
Alright, alright
Alright, alright
Alright, alright!"
No Doubt,Just A Girl,"[Verse 1]
Take this pink ribbon off my eyes
I'm exposed, and it's no big surprise
Don't you think I know exactly where I stand?
This world is forcing me to hold your hand

[Chorus]
'Cause I'm just a girl, oh, little old me
Well, don't let me out of your sight
Oh, I'm just a girl, all pretty and petite
So don't let me have any rights

[Post-Chorus]
Oh, I've had it up to here

[Verse 2]
The moment that I step outside
So many reasons for me to run and hide
I can't do the little things I hold so dear
'Cause it's all those little things that I fear

[Chorus]
'Cause I'm just a girl, I'd rather not be
'Cause they won't let me drive late at night
Oh, I'm just a girl, guess I'm some kind of freak
'Cause they all sit and stare with their eyes
Oh, I'm just a girl, take a good look at me
Just your typical prototype

[Post-Chorus]
Oh, I've had it up to here
Oh, am I making myself clear?

[Bridge]
I'm just a girl
I'm just a girl in the world
That's all that you'll let me be

[Chorus]
Oh, I'm just a girl, living in captivity
Your rule of thumb makes me worrisome
Oh, I'm just a girl, what's my destiny?
What I've succumbed to is making me numb
Oh, I'm just a girl, my apologies
What I've become is so burdensome
Oh, I'm just a girl, lucky me
Twiddle-dum, there's no comparison

[Outro]
Oh, I've had it up to
Oh, I've had it up to
Oh, I've had it up to here"
Bob Dylan,A Hard Rain's A-Gonna Fall,"[Verse 1]
Oh, where have you been, my blue-eyed son?
And where have you been, my darling young one?
Ive stumbled on the side of twelve misty mountains
Ive walked and Ive crawled on six crooked highways
Ive stepped in the middle of seven sad forests
Ive been out in front of a dozen dead oceans
Ive been ten thousand miles in the mouth of a graveyard

[Chorus]
And its a hard, and its a hard, its a hard, its a hard
Its a hard rains a-going to fall

[Verse 2]
Oh, what did you see, my blue-eyed son?
And what did you see, my darling young one?
I saw a newborn baby with wild wolves all around it
I saw a highway of diamonds with nobody on it
I saw a black branch with blood that kept dripping
I saw a room full of men with their hammers a-bleeding
I saw a white ladder all covered with water
I saw ten-thousand talkers whose tongues were all broken
I saw guns and sharp swords in the hands of young children

[Chorus]
And its a hard, its a hard, its a hard, and its a hard
Its a hard rains a-going to fall

[Verse 3]
And what did you hear, my blue-eyed son?
And what did you hear, my darling young one?
I heard the sound of a thunder that roared out a warning
I heard the roar of a wave that could drown the whole world
I heard one hundred drummers whose hands were a-blazing
I heard ten-thousand whispering and nobody listening
I heard one person starve, I heard many people laughing
I heard the song of a poet who died in the gutter
I heard the sound of a clown who cried in the alley

[Chorus]
And its a hard, its a hard, its a hard, its a hard
Its a hard rains a-going to fall

[Verse 4]
Oh, what did you meet, my blue-eyed son?
And who did you meet, my darling young one?
I met a young child beside a dead pony
I met a white man who walked a black dog
I met a young woman, her body was burning
I met a young girl, she gave me a rainbow
I met one man who was wounded in love
I met another man who was wounded in hatred

[Chorus]
And its a hard, its a hard, its a hard, its a hard
Its a hard rains a-going to fall

[Verse 5]
And what will you do now, my blue-eyed son?
And what will you do now, my darling young one?
Im a-going back out fore the rain starts a-falling
Ill walk to the depths of the deepest dark forest
Where the people are many and their hands are all empty
Where the pellets of poison are flooding their waters
Where the home in the valley meets the damp dirty prison
And the executioners face is always well hidden
Where hunger is ugly, where the souls are forgotten
Where black is the color, where none is the number
And Ill tell it, and speak it, and think it, and breathe it
And reflect from the mountain so all souls can see it
Then Ill stand on the ocean until I start sinking
But Ill know my song well before I start singing

[Chorus]
And its a hard, its a hard, its a hard, and its a hard
Its a hard rains a-going to fall"
Manic Street Preachers,If You Tolerate This Your Children Will Be Next,"

The future teaches you to be alone
The present to be afraid and cold
So if I can shoot rabbits then I can shoot fascists
Bullets for your brain today
But we'll forget it all again
Monuments put from pen to paper
Turns me into a gutless wonder

And if you tolerate this then your children will be next
And if you tolerate this then your children will be next
Will be next, will be next, will be next

Gravity keeps my head down
Or is it maybe shame
At being so young and being so vain
Holes in your head today
But I'm a pacifist
I've walked Las Ramblas but not with real intent

And if you tolerate this then your children will be next
And if you tolerate this then your children will be next
Will be next, will be next, will be next, will be next

And on the street tonight an old man plays
With newspaper cuttings of his glory days

And if you tolerate this then your children will be next
And if you tolerate this then your children will be next
Will be next, will be next, will be next

"
Frankie Goes To Hollywood,Two Tribes,"Yeah..
Ha!

When two tribes go to war
A point is all that you can score
Score no more! Score no more!
When two tribes go to war
A point is all that you can score
Working for the black gas

Cowboy No. 1
A born-again poor man's son
Poor man's son
On the air America
I modeled shirts by Van Heusen
Working for the black gas
Yeah..

You know..

When two tribes go to war
A point is all that you can score
Score no more! Score no more!
When two tribes go to war
A point is all that you can score
Working for the black gas

Switch off your shield
Switch off and feel
I'm working on loving, yeah. Yow
Giving you back the good times
Ship it out, out!
Working for the black gas
A point is all that you can score
When two tribes go to war

When two tribes go to war
A point is all that you can score

We've got two tribes
We got the bomb! We got the bomb! Yeah! Yeah..
Sock it to me biscuits, now

Are we living in a land where sex and horror are the new Gods?
Yeah

When two tribes go to war (ow! ow! ow!)
A point is all you can score"
Radiohead,Idioteque,"[Verse 1]
Who's in the bunker? Who's in the bunker?
Women and children first
And the children first, and the children
I'll laugh until my head comes off
I'll swallow until I burst
Until I burst, until I
Who's in the bunker? Who's in the bunker?
I have seen too much
I haven't seen enough, you haven't seen it
I'll laugh until my head comes off
Women and children first
And children first, and children

[Chorus]
Here I'm allowed
Everything all of the time
Here I'm alive
Everything all of the time

[Verse 2]
Ice Age coming, Ice Age coming
Let me hear both sides
Let me hear both sides, let me hear both
Ice Age coming, Ice Age coming
Throw it in the fire
Throw it in the fire, throw it on the
We're not scaremongering
This is really happening, happening
We're not scaremongering
This is really happening, happening
Mobiles skwerking, mobiles chirping
Take the money and run
Take the money and run, take the money


[Chorus]
Here I'm alive
Everything all of the time
Here I'm alive
Everything all of the time
Here I'm alive
Everything all of the time
Here I'm alive
Everything all of the time

[Outro]
And first, and the children, and first, and the children
And first, and the children, and first, and the children
And first, and first, and the children
And first, and the children
And first, and the children, and first, and the children
And first, and first, and the children
And first, and the children, and first, and the children
And first, and the children, and first, and the children"
Rage Against The Machine,Killing In The Name,"[Hook]
Killing in the name of...

[Verse]
Some of those that work forces, are the same that burn crosses
Some of those that work forces, are the same that burn crosses
Some of those that work forces, are the same that burn crosses
Some of those that work forces, are the same that burn crosses

[Hook]
Ugh!
Killing in the name of...
Killing in the name of...

[Pre-Chorus]
Now you do what they told ya
Now you do what they told ya
Now you do what they told ya
Now you do what they told ya
And now you do what they told ya
And now you do what they told ya
And now you do what they told ya
And now you do what they told ya
And now you do what they told ya
And now you do what they told ya
And now you do what they told ya
But now you do what they told ya!
Well now you do what they told ya!


[Chorus]
Those who died are justified
For wearing the badge, they're the chosen whites
You justify those that died
By wearing the badge, they're the chosen whites
Those who died are justified
For wearing the badge, they're the chosen whites
You justify those that died
By wearing the badge, they're the chosen whites

[Verse]
Some of those that work forces, are the same that burn crosses
Some of those that work forces, are the same that burn crosses
Some of those that work forces, are the same that burn crosses
Some of those that work forces, are the same that burn crosses

[Hook]
Ugh!
Killing in the name of...
Killing in the name of...

[Pre-Chorus]
Now you do what they told ya
Now you do what they told ya
Now you do what they told ya
Now you do what they told ya
And now you do what they told ya
(Now you're under control) And now you do what they told ya
(Now you're under control) And now you do what they told ya
(Now you're under control) And now you do what they told ya
(Now you're under control) And now you do what they told ya
(Now you're under control) And now you do what they told ya
(Now you're under control) And now you do what they told ya
(Now you're under control) And now you do what they told ya!


[Chorus]
Those who died are justified
For wearing the badge, they're the chosen whites
You justify those that died
By wearing the badge, they're the chosen whites
Those who died are justified
For wearing the badge, they're the chosen whites
You justify those that died
By wearing the badge, they're the chosen whites
Come on!

[Guitar Solo]
Ugh!
Yeah!
Come on!
Ugh!

[Outro]
Fuck you, I won't do what you tell me
Fuck you, I won't do what you tell me
Fuck you, I won't do what you tell me
Fuck you, I won't do what you tell me
Fuck you, I won't do what you tell me
Fuck you, I won't do what you tell me
Fuck you, I won't do what you tell me
Fuck you, I won't do what you tell me!
Fuck you, I won't do what you tell me!
Fuck you, I won't do what you tell me!
Fuck you, I won't do what you tell me!
Fuck you, I won't do what you tell me!
Fuck you, I won't do what you tell me!
Fuck you, I won't do what you tell me!
Fuck you, I won't do what you tell me!
Fuck you, I won't do what you tell me!
Motherfucker!
Ugh!"
Pixies,Monkey Gone To Heaven,"[Verse 1]
There was a guy
An under water guy who controlled the sea
Got killed by ten million pounds of sludge
From New York and New Jersey

[Hook]
This monkey's gone to Heaven
This monkey's gone to Heaven
This monkey's gone to Heaven
This monkey's gone to Heaven

[Verse 2]
The creature in the sky
Got sucked in a hole
Now there's a hole in the sky
And the ground's not cold
And if the ground's not cold, everything is gonna burn
We'll all take turns, I'll get mine too

[Hook]
This monkey's gone to Heaven
This monkey's gone to Heaven
This monkey's gone to Heaven
This monkey's gone to Heaven

[Bridge]
Rock me, Joe

[Verse 3]
If Man is five, If Man is five
If Man is five, then the Devil is six
Then the Devil is six, the Devil is six
The Devil is six, and if the Devil is six
Then God is seven, then God is seven
Then God is seven

[Hook]
This monkey's gone to Heaven
This monkey's gone to Heaven
This monkey's gone to Heaven
This monkey's gone to Heaven

[Outro]
This monkey's gone to Heaven
This monkey's gone to Heaven
This monkey's gone to Heaven
This monkey's gone to Heaven
This monkey's gone to Heaven"
The Rolling Stones,We Love You,"

We don't care if you only love ""we""
We don't care if you only love ""we""
We love you. We love you, and we hope
That you will love ""we"" too
We love ""they"". We love ""they"", and
We want you to love ""they"" too
Ah

We don't care if you hound ""we"" and
Love is all around ""we""
Love can't get our minds off
We love you, we love you

You will never win ""we""
Your uniforms don't fit ""we""
We forget the place we're in
Cause we love you
We love you. Of course, we do

I love you. I love you
And I hope that you won't prove wrong
Too
We love you. We do. We love you. We
Do. Ah...

"
The Clash,Rock The Casbah,"[Verse 1]
Now the king told the boogie men
You have to let that raga drop
The oil down the desert way
Has been shaken to the top
The Sheik he drove his Cadillac
He went a' cruisin' down the ville
The muezzin was a'standing
On the radiator grill

[Chorus]
Shareef don't like it
Rockin' the Casbah
Rock the Casbah
Shareef don't like it
Rockin' the Casbah
Rock the Casbah

[Verse 2]
By order of the prophet
We ban that boogie sound
Degenerate the faithful
With that crazy Casbah sound
But the Bedouin they brought out
The electric camel drum
The local guitar picker
Got his guitar pickin' thumb
As soon as the Sharif
Cleared the square
They began to wail

[Chorus]
Shareef don't like it
Rockin' the Casbah
Rock the Casbah
Shareef don't like it
Rockin' the Casbah
Rock the Casbah

[Verse 3]
Now over at the temple
Oh! They really pack 'em in
The in crowd say it's cool
To dig this chanting thing
But as the wind changed direction
And the temple band took five
The crowd caught a whiff
Of that crazy Casbah jive

[Chorus]
Shareef don't like it
Rockin' the Casbah
Rock the Casbah
Shareef don't like it
Rockin' the Casbah
Rock the Casbah

[Verse 4]
The king called up his jet fighters
He said ""You better earn your pay
Drop your bombs between the minarets
Down the Casbah way""
As soon as the Sharif was
Chauffeured outta there
The jet pilots tuned to
The cockpit radio blare
As soon as the Sharif was
Out of their hair
The jet pilots wailed

[Chorus]
Shareef don't like it
Rockin' the Casbah
Rock the Casbah
Shareef don't like it
Rockin' the Casbah
Rock the Casbah

[Outro]
(Shareef don't like it)
Thinks its not kosher
(Rockin' the Casbah
Rock the Casbah)
(Shareef don't like it)
Fundamentally cant take it
(Rockin' the Casbah
Rock the Casbah)
(Shareef don't like it)
You know he really hates it
(Rockin' the Casbah
Rock the Casbah)
(Shareef don't like it)
Really, really hates it"
The Smiths,Panic,"[Verse 1]
Panic on the streets of London
Panic on the streets of Birmingham
I wonder to myself...
Could life ever be sane again?
The Leeds side-streets that you slip down
I wonder to myself...

[Verse 2]
Hopes may rise on the Grasmere
But Honey Pie, you're not safe here
So you run down to the safety of the town
But there's panic on the streets of Carlisle
Dublin, Dundee, Humberside
I wonder to myself...

[Chorus]
Burn down the disco
Hang the blessed DJ
Because the music that they constantly play
It says nothing to me about my life
Hang the blessed DJ
Because the music they constantly play

[Verse 3]
On the Leeds side-streets that you slip down
Provincial towns you jog 'round

[Outro]
Hang the DJ, hang the DJ, hang the DJ
Hang the DJ, hang the DJ, hang the DJ
Hang the DJ, hang the DJ, hang the DJ
Hang the DJ, hang the DJ
Hang the DJ, hang the DJ
Hang the DJ, hang the DJ, hang the DJ
Hang the DJ, hang the DJ
Hang the DJ, hang the DJ
Hang the DJ, hang the DJ, hang the DJ
Hang the DJ, hang the DJ
Hang the DJ, hang the DJ
Hang the DJ, hang the DJ, hang the DJ
Hang the DJ, hang the DJ"
The Specials,Ghost Town,"

This town, is coming like a ghost town
All the clubs have been closed down
This place, is coming like a ghost town
Bands won't play no more
Too much fighting on the dance floor

Do you remember the good old days before the ghost town?
We danced and sang, and the music played in a de boomtown

This town, is coming like a ghost town
Why must the youth fight against themselves?
Government leaving the youth on the shelf
This place, is coming like a ghost town
No job to be found in this country
Can't go on no more
The people getting angry

This town, is coming like a ghost town
This town, is coming like a ghost town
This town, is coming like a ghost town
This town, is coming like a ghost town

"
U2,Sunday Bloody Sunday,"[Instrumental Intro]

[Verse 1]
I can't believe the news today
Oh, I can't close my eyes and make it go away
How long, how long must we sing this song?
How long? How long?
'Cause tonight, we can be as one
Tonight

[Pre-Chorus]
Broken bottles under children's feet
Bodies strewn across the dead end street
But I won't heed the battle call
It puts my back up
Puts my back up against the wall

[Chorus]
Sunday, Bloody Sunday
Sunday, Bloody Sunday
Sunday, Bloody Sunday
Sunday, Bloody Sunday
Alright, let's go!

[Verse 2]
And the battle's just begun
There's many lost, but tell me, who has won?
The trench is dug within our hearts
And mothers, children, brothers, sisters
Torn apart

[Chorus]
Sunday, Bloody Sunday
Sunday, Bloody Sunday

[Bridge]
How long
How long must we sing this song?
How long, how long?
'Cause tonight, we can be as one
Tonight

[Chorus]
Sunday, Bloody Sunday
Sunday, Bloody Sunday
Come get some!

[Bridge]
Wipe the tears from your eyes
Wipe your tears away
Oh, wipe your tears away
Oh, wipe your tears away
Oh, wipe your bloodshot eyes

[Chorus]
Sunday, Bloody Sunday
Sunday, Bloody Sunday

[Verse 3]
And it's true, we are immune
When fact is fiction and TV reality
And today, the millions cry
We eat and drink while tomorrow, they die
The real battle just begun
To claim the victory Jesus won
On

[Chorus]
Sunday, Bloody Sunday
Sunday, Bloody Sunday"
