Avon and Somerset,Avon and Somerset,South Gloucestershire,Bath And North East Somerset,Bristol,North Somerset,East Somerset,West Somerset,Somerset,"Bristol, City of","Bath and North East Somerset, North Somerset and South Gloucestershire",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bedfordshire,Bedfordshire,Bedford,Central Bedfordshire,Luton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cambridgeshire,Cambridgeshire CC,Fenland,Peterborough,Cambridge,East Cambridgeshire,Huntingdonshire,South Cambridgeshire,Cambridgeshire CC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cheshire,,Cheshire East,Cheshire West and Chester,Halton,Warrington,Runcorn,Widnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City of London,City of London,City of London,Inner Temple,Middle Temple,Camden and City of London,Westminster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cleveland,Cleveland,Cleveland,Hartlepool,Middlesbrough,Redcar and Cleveland,Stockton-on-Tees,Hartlepool and Stockton-on-Tees,South Teesside,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cumbria,Cumbria,Cumbria,Carlisle,Eden,Barrow Borough,South Lakeland,Allerdale,Copeland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Derbyshire,Derbyshire,East Derbyshire,Buxton,Chesterfield,Bolsover,Derby,East Derbyshire,South and West Derbyshire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Devon and Cornwall,Devon and Cornwall,Devon,Cornwall,Plymouth,Torbay,Isles of Scilly,Cornwall and Isles of Scilly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dorset,Dorset,Poole,Bournemouth,Dorset CC,Bournemouth and Poole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Durham,Durham,County Durham,Darlington,Durham CC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dyfed-Powys,Dyfed-Powys,Carmarthenshire,Ceredigion/Sir Ceredigion,Pembrokeshire,Dyfed,Powys,Brecknockshire,Radnorshire,Montgomeryshire,Ceredigion,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Essex,Essex,Essex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gloucestershire,Gloucestershire,Gloucestershire,Cheltenham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greater Manchester,Greater Manchester,Greater Manchester,Newton Heath,Bolton,Bury,Oldham,Rochdale,Stockport,Tameside,Trafford,Wigan,Manchester,Salford,North and North East Lincolnshire,,,,,,,,,,,,,,,,,,,,,,,,
Gwent,Gwent,Blaenau Gwent,Caerphilly,Monmouthshire,Newport,Torfaen,Newport/Casnewydd,Caerphilly/Caerffili,Gwent Valleys,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hampshire,Hampshire,Hampshire,Isle of Wight,Winchester,Southampton,Portsmouth,Hampshire and Isle of Wight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hertfordshire,Hertfordshire,Hertfordshire,Hemel Hempstead,Stevenage,Watford,St Albans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Humberside,Humberside,East Riding of Yorkshire,"Kingston upon Hull,",North East Lincolnshire,North Lincolnshire,,East Yorkshire and Northern Lincolnshire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kent,Kent,Medway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lancashire,Lancashire,Blackpool,Flyde,Morecambe,Heysham,Wyre,Chorley,Preston,South Ribble,Chorley,West Lancashire,Blackburn,Ribble Valley,Accrington,Burnley,Pendle,Rossendale,Blackburn With Darwen,,,,,,,,,,,,,,,,,,,,
Leicestershire,Leicestershire,Leicestershire,North West Leicestershire,Loughborough,Charnwood,Melton,Rutland,Hinckley,Harborough,Oadby and Wigston,Leicestershire CC and Rutland,Leicester,,,,,,,,,,,,,,,,,,,,,,,,,,
Lincolnshire,Lincolnshire,Lincoln,Market Rasen,Gainsborough,Grantham,Sleaford,North Hykeham,Bracebridge Heath,Market Deeping,Bourne,Stamford,Skegness,Mablethorpe,Louth,Horncastle,Boston,Spalding,Holbeach,Sutton Bridge,,,,,,,,,,,,,,,,,,,
Merseyside,Merseyside,Liverpool,Sefton,Wirral,St Helens,Knowsley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metropolitan Police,Metropolitan Police,Barking,Barnet,Bexley,Bromley,Camden,Croydon,Ealing,Enfield,Greenwich,Hackney,Hammersmith,Haringey,Harrow,Havering,Hillingdon,Hounslow,Islington,Kensington & Chelsea and Hammersmith & Fulham,Kingston upon Thames,Lambeth,Lewisham,Merton,Newham,Redbridge,Richmond upon Thames,Southwark,Sutton,Tower Hamlets,Waltham Forest,Wandsworth,Westminster,Barking And Dagenham,Brent,Outer London - West and North West,Outer London - South,Outer London - East and North East,Inner London - East
Norfolk,Norfolk,Breckland and South Norfolk,North and West Norfolk,Norwich and East Norfolk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Wales,North Wales,Caernarfonshire,Anglesey,Wrexham/Wrecsam,Flintshire/Sir y Fflint,Denbighshire/Sir Ddinbych,Gwynedd,Conwy,Isle of Anglesey/Sir Ynys Mon,,Denbighshire,Isle of Anglesey,Conwy and Denbighshire,,,,,,,,,,,,,,,,,,,,,,,,,
North Yorkshire,North Yorkshire,North Yorkshire,York,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northamptonshire,Northamptonshire,Brackley,Burton Latimer,Corby,Daventry,Desborough,Higham Ferrers,Irthlingborough,Kettering,Northampton,Oundle,Raunds,Rothwell,Rushden,Towcester,Thrapston,Wellingborough,North Northamptonshire,West Northamptonshire,,,,,,,,,,,,,,,,,,,
Northumbria,Northumbria,Northumberland,Newcastle upon Tyne,North Tyneside,Gateshead,Sunderland,South Tyneside,Tyne and Wear,Northumberland and Tyne and Wear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nottinghamshire,Nottinghamshire,South Nottinghamshire,North Nottinghamshire,Rushcliffe,Bassetlaw,Mansfield,Neward and Sherwood,Ashfield,Gedling,Broxtowe,Nottingham,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Wales,South Wales,The Vale of Glamorgan/Bro Morgannwg,Cardiff,Bridgend and Neath Port Talbot,Merthyr Tydfil/Merthyr Tudful,Swansea/Abertawe,South Wales Valleys,Neath Port Talbot/Castell-Nedd Port Talbot,Pontypridd,Barry,Bridgend,Cardiff Bay,Cardiff Central,Rhondda Cynon Taff/Rhondda Cynon Taf,Pembrokeshire/Sir Benfro,Carmarthenshire/Sir Gaerfyrddin,Bridgend/Pen-y-Bont ar Ogwr,Monmouthshire/Sir Fynwy,Cardiff/Caerdydd,Swansea,Monmouthshire and Newport,Cardiff and Vale of Glamorgan,Flintshire and Wrexham,Powys,,,,,,,,,,,,,,
South Yorkshire,South Yorkshire,South Yorkshire,Barnsley,Doncaster,Rotherham,Sheffield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staffordshire,Staffordshire,Staffordshire CC,Stoke-on-Trent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suffolk,Suffolk,Suffolk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Surrey,Surrey,East Surrey,Epson and Ewell,Mole Valley,Tandridge,Reigate and Banstead,Spelthorne,Guildford,Woking,Elmbidge,Waverley,Surrey Heath,Runneymede,West Surrey,,,,,,,,,,,,,,,,,,,,,,,,
Sussex,Sussex,Sussex,East Sussex,West Sussex,Brighton and Hove,West Sussex (North East),West Sussex (South West),,East Sussex CC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thames Valley,Thames Valley,Slough,Berkshire,Buckinghamshire CC,Oxfordshire,Wokingham,West Berkshire,Windsor And Maidenhead,Bracknell Forest,Milton Keynes,Reading,,,,,,,,,,,,,,,,,,,,,,,,,,,
Warwickshire,Warwickshire,Warwickshire,North Warwickshire,Nuneaton ,Bedworth,Rugby,Stratford-on-Avon,Warwick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Mercia,West Mercia,"Herefordshire, County of",Shropshire CC,Telford and Wrekin,Worcestershire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Midlands,West Midlands,West Midlands,Birmingham,Dudley,Walsall,Wolverhampton,Solihull,Herefordshire,Sandwell,Coventry,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Yorkshire,West Yorkshire,Leeds,Bradford,Wakefield,Kirklees,Calderdale,West Yorkshire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wiltshire,Wiltshire,Wiltshire,Swindon,Chippenham,Trowbridge,Salisbury,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
